,n_bodies,time
199,91.0,99.500000000014
200,91.0,100.00000000001425
201,91.0,100.50000000001451
202,91.0,101.00000000001477
203,91.0,101.50000000001502
204,91.0,102.00000000001528
205,91.0,102.50000000001553
206,91.0,103.00000000001579
207,91.0,103.50000000001604
208,91.0,104.0000000000163
209,91.0,104.50000000001656
210,91.0,105.00000000001681
211,91.0,105.50000000001707
212,91.0,106.00000000001732
213,91.0,106.50000000001758
214,91.0,107.00000000001783
215,91.0,107.50000000001809
216,91.0,108.00000000001835
217,91.0,108.5000000000186
218,91.0,109.00000000001886
219,91.0,109.50000000001911
220,91.0,110.00000000001937
221,91.0,110.50000000001963
222,91.0,111.00000000001988
223,91.0,111.50000000002014
224,91.0,112.00000000002039
225,91.0,112.50000000002065
226,91.0,113.0000000000209
227,91.0,113.50000000002116
228,91.0,114.00000000002142
229,91.0,114.50000000002167
230,91.0,115.00000000002193
231,91.0,115.50000000002218
232,91.0,116.00000000002244
233,91.0,116.5000000000227
234,91.0,117.00000000002295
235,91.0,117.5000000000232
236,91.0,118.00000000002346
237,91.0,118.50000000002372
238,91.0,119.00000000002397
239,91.0,119.50000000002423
240,91.0,120.00000000002449
241,91.0,120.50000000002474
242,91.0,121.000000000025
243,91.0,121.50000000002525
244,91.0,122.00000000002551
245,91.0,122.50000000002576
246,91.0,123.00000000002602
247,91.0,123.50000000002628
248,91.0,124.00000000002653
249,91.0,124.50000000002679
250,91.0,125.00000000002704
251,90.0,125.5000000000273
252,90.0,126.00000000002755
253,90.0,126.50000000002781
254,90.0,127.00000000002807
255,90.0,127.50000000002832
256,90.0,128.00000000002856
257,90.0,128.5000000000281
258,90.0,129.00000000002765
259,90.0,129.5000000000272
260,90.0,130.00000000002674
261,90.0,130.5000000000263
262,90.0,131.00000000002584
263,90.0,131.50000000002538
264,90.0,132.00000000002493
265,90.0,132.50000000002447
266,90.0,133.00000000002402
267,90.0,133.50000000002356
268,90.0,134.0000000000231
269,90.0,134.50000000002265
270,90.0,135.0000000000222
271,90.0,135.50000000002174
272,90.0,136.0000000000213
273,90.0,136.50000000002083
274,90.0,137.00000000002038
275,90.0,137.50000000001992
276,90.0,138.00000000001947
277,90.0,138.500000000019
278,90.0,139.00000000001856
279,90.0,139.5000000000181
280,90.0,140.00000000001765
281,90.0,140.5000000000172
282,90.0,141.00000000001674
283,90.0,141.50000000001629
284,90.0,142.00000000001583
285,90.0,142.50000000001538
286,90.0,143.00000000001492
287,90.0,143.50000000001447
288,90.0,144.000000000014
289,90.0,144.50000000001356
290,90.0,145.0000000000131
291,90.0,145.50000000001265
292,90.0,146.0000000000122
293,90.0,146.50000000001174
294,90.0,147.00000000001128
295,90.0,147.50000000001083
296,90.0,148.00000000001037
297,90.0,148.50000000000992
298,90.0,149.00000000000946
299,90.0,149.500000000009
300,90.0,150.00000000000855
301,90.0,150.5000000000081
302,90.0,151.00000000000765
303,90.0,151.5000000000072
304,90.0,152.00000000000674
305,90.0,152.50000000000628
306,90.0,153.00000000000583
307,90.0,153.50000000000537
308,90.0,154.00000000000492
309,90.0,154.50000000000446
310,90.0,155.000000000004
311,90.0,155.50000000000355
312,90.0,156.0000000000031
313,90.0,156.50000000000264
314,90.0,157.0000000000022
315,90.0,157.50000000000173
316,90.0,158.00000000000128
317,90.0,158.50000000000082
318,90.0,159.00000000000037
319,90.0,159.49999999999991
320,90.0,159.99999999999946
321,90.0,160.499999999999
322,90.0,160.99999999999855
323,90.0,161.4999999999981
324,90.0,161.99999999999764
325,90.0,162.4999999999972
326,90.0,162.99999999999673
327,90.0,163.49999999999628
328,90.0,163.99999999999582
329,89.0,164.49999999999537
330,89.0,164.9999999999949
331,89.0,165.49999999999446
332,89.0,165.999999999994
333,89.0,166.49999999999355
334,89.0,166.9999999999931
335,89.0,167.49999999999264
336,89.0,167.99999999999218
